Day,Month,Year,Event,Icon
13,September,2020,Online Start,https://www.unlimit-tech.com/wp-content/uploads/Online.jpg
6,October,2020,Armed Forces Day,https://scontent.faly1-2.fna.fbcdn.net/v/t1.0-9/43269751_1809272895793713_8522816704273711104_n.jpg?_nc_cat=101&_nc_sid=8bfeb9&_nc_ohc=KfRXnClZBkYAX-JHy7R&_nc_oc=AQks1sx2uUCHinwQ_nuvntUi4YlFR2axYNyLGcSs0XEYauzLJdX8tPx28WQ7s_x02Zo&_nc_ht=scontent.faly1-2.fna&oh=3044e3b6b0188aac5694b2481d142694&oe=5F80A2A6
18,October,2020,Beginning of Quarter 1 (Welcome day),https://upload.wikimedia.org/wikipedia/commons/9/91/Q1_Tankstellenvertrieb_logo.svg
18,October,2020,Lunching Quran competition participation,https://3.files.edl.io/748d/20/03/16/155159-19a56460-7756-4de2-9135-fa34edfb31c4.jpg
29,October,2020,Prophet Mhummad’s Birthday,https://image.freepik.com/free-vector/mawlid-al-nabi-prophet-muhammad-s-birthday-greeting-moon-with-mosque_103671-146.jpg
6,November,2020,Trip G1 - G3,https://img.washingtonpost.com/rf/image_1484w/2010-2019/WashingtonPost/2017/06/07/Production/Sunday/Travel/Graphics/road%20trip0611.jpg?uuid=kRjsDksdEee8G_3b2DWd7g
20,November,2020,Trip G4 - G7,https://img.washingtonpost.com/rf/image_1484w/2010-2019/WashingtonPost/2017/06/07/Production/Sunday/Travel/Graphics/road%20trip0611.jpg?uuid=kRjsDksdEee8G_3b2DWd7g
22 - 30,November,2020,Academic competition ( phase one),http://all-best.co/wp-content/uploads/2018/03/7626.jpg
1-3,December,2020,Academic competition ( phase one),http://all-best.co/wp-content/uploads/2018/03/7626.jpg
6-9,December,2020,Quarter 1 Exams,https://miro.medium.com/max/690/1*xduopceW3Z2ObZS0ssXLkA.jpeg
10,December,2020,Quarter 1 Vacation,https://images.creativemarket.com/0.1.0/ps/2343010/300/200/m1/fpnw/wm0/vacation-time-cover-2-project-.jpg?1498150470&s=28ab43e03dcb159b1f72b73fc6e9916e
13,December,2020,Beginning of Quarter 2 (Welcom Day),https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRstRpNEyTfxnuzRcKTmcRv2q_bTn8YVn3ryg&usqp=CAU
